,inducted
4701,N
7211,N
2325,N
3048,N
5914,N
2666,N
627,Y
2571,N
6452,N
3165,Y
6387,N
572,N
9178,N
4468,N
5255,N
6597,N
2119,N
7565,N
4515,N
3020,N
7956,N
8587,N
6261,N
7912,N
8853,Y
8366,N
5710,N
1454,N
8375,N
304,N
8648,N
2876,N
7678,N
2963,N
5072,N
7071,Y
4960,N
3590,N
2369,N
4095,N
6520,N
7000,N
5244,N
8867,N
645,N
5018,N
3107,N
6091,N
2949,Y
4037,N
7265,N
5659,N
2171,N
8394,N
5811,N
3276,N
9136,N
6804,N
1702,N
4091,N
3918,N
5074,N
6765,N
8017,N
1209,N
3687,N
6466,N
3848,Y
7318,Y
5406,N
7802,N
2534,N
8788,N
3586,N
831,Y
2702,N
8897,N
5956,N
1858,N
2520,Y
8604,N
7033,N
4024,N
4634,N
6328,N
6997,N
2158,Y
5211,N
8575,N
3913,N
239,N
7896,N
3653,N
8042,N
552,N
1727,N
1774,N
4883,N
2908,N
5111,N
8158,N
5705,N
435,N
4343,Y
8726,N
2436,N
291,N
8611,N
1916,Y
970,Y
3691,N
7544,N
6759,Y
1276,Y
6781,N
20,N
185,N
3510,N
779,N
1675,Y
2551,N
2715,N
4612,Y
3229,Y
5770,N
7723,Y
4542,N
5355,Y
6251,Y
750,N
5790,N
2460,N
5691,N
4702,N
8823,N
8916,N
5882,N
9145,N
4022,Y
5933,Y
1103,N
797,N
4202,N
5722,N
4330,Y
2269,N
4196,N
1975,N
23,N
3314,N
3368,N
2821,N
7549,N
8316,Y
2907,N
4988,N
6110,N
8469,N
8078,N
4606,N
1040,N
681,N
3338,N
4050,N
6562,Y
8025,N
162,N
8418,N
2305,N
5553,N
8845,N
8305,N
4051,Y
3406,Y
7445,N
4811,N
458,N
7516,N
8425,Y
4978,N
5438,N
8188,N
3724,N
2020,N
1075,N
416,N
4971,N
7019,N
3876,N
4852,N
1624,Y
2578,N
7973,N
3667,N
735,N
6910,N
6772,Y
2568,N
5496,N
3241,N
4479,N
4058,Y
1224,N
4031,N
7702,Y
7909,N
8053,N
4354,N
332,Y
7797,Y
6486,Y
1915,N
4420,N
8395,N
3459,N
8812,N
6788,N
4764,N
8012,N
1482,N
783,N
2948,Y
4126,N
5660,N
5259,N
1595,N
1268,N
6329,N
807,N
6967,N
2498,N
762,Y
2514,N
3367,N
4546,N
5798,Y
1239,N
3731,N
1176,N
3694,N
5951,N
8577,N
2488,N
3867,N
3955,N
5178,N
1837,Y
370,N
568,N
4814,N
6313,N
541,N
8946,N
6231,N
5092,N
4407,N
4931,N
3515,Y
1758,N
5891,N
4335,Y
4536,N
5529,N
2809,N
5556,N
4201,Y
7969,N
5856,N
2743,Y
6345,N
4923,N
1641,Y
8040,N
8673,N
956,N
770,N
1320,Y
7946,N
968,N
212,Y
5881,N
8420,N
6165,N
737,N
6130,N
7498,N
9061,N
3339,Y
7513,N
4919,N
6412,N
2867,N
1396,Y
7828,Y
7250,Y
8811,N
903,N
8655,N
4758,N
3822,N
5608,N
5289,N
6422,N
2367,N
2951,N
4321,N
4568,N
9007,N
1632,N
6950,Y
3099,N
7438,Y
8676,N
6480,N
2028,Y
4210,N
471,N
217,N
3598,Y
3729,N
5135,Y
8791,N
5695,Y
1212,N
1375,N
4834,N
5906,N
4130,N
8730,Y
9176,N
4845,N
3540,N
2997,N
9107,N
1091,Y
8588,N
6727,N
1400,N
8871,N
6784,N
4222,N
2432,N
1056,N
9027,Y
1576,Y
701,N
566,N
200,N
9062,N
5333,N
5322,N
3754,N
3643,N
6244,N
193,N
492,N
4132,N
4153,N
1429,N
3791,N
1620,Y
7477,N
8786,N
3499,N
941,N
712,N
5586,N
6008,N
2721,N
1791,N
7883,N
4137,N
7753,N
4763,N
4676,N
7916,N
7101,Y
219,Y
8738,Y
9081,N
6240,N
4276,N
2812,N
6544,N
4627,N
5779,N
2061,N
3740,N
143,N
1757,N
1203,N
5182,N
4412,N
3537,N
476,N
3624,Y
1005,N
2190,N
3358,Y
4683,N
7619,N
8976,Y
8544,N
8789,N
8461,N
2663,N
6538,N
2652,N
6446,N
3140,N
1363,N
8692,N
952,Y
3329,N
724,N
8523,N
8729,Y
7869,N
3220,N
2932,N
6417,N
8665,Y
7352,Y
6467,N
1376,N
2111,N
7270,N
4454,N
2199,Y
1463,N
4264,N
7115,N
8338,N
2237,N
4239,N
994,N
7511,N
8391,N
5276,N
4970,N
1730,N
571,N
5947,N
6894,N
8145,N
6778,N
1109,N
3096,N
6929,N
4033,N
6413,N
2183,Y
3498,N
6713,N
2981,N
3593,N
3771,N
4320,Y
5390,N
5909,N
5723,N
4107,Y
1645,N
5117,N
2309,Y
4742,N
2912,N
8254,N
4078,N
2986,N
4943,N
8432,Y
8451,N
3760,N
879,N
798,N
2753,N
2000,N
2871,N
6861,Y
7321,N
1925,N
6714,N
6710,Y
3628,N
1590,N
7242,N
1274,Y
5727,N
6323,N
2982,N
2014,N
5650,N
8258,N
7467,N
7204,Y
710,N
9121,Y
5772,N
6263,N
7117,N
2450,N
2226,N
8448,N
7736,N
1512,Y
809,N
6298,N
3098,N
3814,N
4076,N
2152,N
7829,N
6664,N
4685,N
1998,Y
8427,N
5190,N
3328,N
2021,N
1681,N
7056,N
5164,N
3895,N
3269,N
2518,Y
7092,N
3287,N
6651,N
3294,N
6488,N
4838,Y
1708,N
8870,Y
4666,Y
5702,N
5961,N
7226,N
8579,Y
6921,N
856,N
7423,N
917,N
4810,N
420,N
915,Y
1526,N
8878,N
2470,N
5140,N
6059,N
7688,N
5173,N
6952,Y
5402,N
2526,N
1608,N
739,N
5555,N
8276,N
4969,N
8362,Y
8248,N
5730,N
2495,N
1054,N
3151,Y
5361,N
281,N
1168,N
8828,N
4716,N
6509,N
7908,N
1557,N
2870,N
2859,N
759,N
2203,Y
2016,N
7672,N
4462,N
6529,N
8743,N
9193,N
1127,N
6540,N
2589,Y
6204,N
4767,N
1126,N
898,N
2112,N
5302,N
8443,N
2127,N
1330,N
8522,N
978,N
8332,N
