,playerID,num_seasons,G,AB,Runs,Hits,Doubles,Triples,HR,RBI,SB,BB,SO,nameFirst,nameLast,weight,height,bats,throws,pos,category,AVG,OBP,SLG
4352,kellymi02,5,327,684,111,165,45,6,22,86.0,30.0,54,187.0,Mike,Kelly,195.0,76.0,R,R,OF,N,0.241228070175439,0.296747967479675,0.421052631578947
5496,mcraebr01,9,1354,5114,734,1336,264,58,103,532.0,196.0,488,824.0,Brian,McRae,175.0,72.0,B,R,OF,N,0.26124364489636304,0.325598000714031,0.395971842002346
4850,lisiri01,0,9,16,6,5,0,0,0,1.0,0.0,4,0.0,Rick,Lisi,175.0,72.0,R,R,OF,N,0.3125,0.45,0.3125
8425,trammal01,19,2293,8288,1231,2365,412,55,185,1003.0,236.0,850,874.0,Alan,Trammell,165.0,72.0,R,R,SS,Player,0.285352316602317,0.351827533377107,0.415299227799228
5031,mackra01,9,791,2707,273,629,113,24,34,278.0,35.0,261,365.0,Ray,Mack,200.0,72.0,R,R,2B,N,0.232360546730698,0.29986522911051194,0.329516069449575
507,beaslle01,0,25,32,5,7,1,0,0,3.0,1.0,2,2.0,Lew,Beasley,172.0,70.0,L,R,OF,N,0.21875,0.264705882352941,0.25
3426,hancoga01,6,273,570,57,141,21,3,12,64.0,2.0,12,42.0,Garry,Hancock,175.0,72.0,L,L,OF,N,0.247368421052632,0.262886597938144,0.35789473684210504
7959,stargwi01,20,2360,7927,1194,2232,423,55,475,1540.0,17.0,937,1936.0,Willie,Stargell,188.0,74.0,L,L,1B,Player,0.281569320045414,0.35751353790613705,0.528573230730415
3817,holdebi01,1,79,246,20,52,6,3,0,21.0,2.0,27,36.0,Bill,Holden,170.0,72.0,R,R,OF,N,0.211382113821138,0.289377289377289,0.260162601626016
362,bandoch01,8,498,1284,134,292,46,2,27,142.0,1.0,138,197.0,Chris,Bando,195.0,72.0,B,R,C,N,0.22741433021806895,0.30239099859353,0.329439252336449
2150,diazjo02,2,35,55,6,8,1,0,0,6.0,1.0,4,17.0,Jonathan,Diaz,155.0,69.0,R,R,2B,N,0.14545454545454503,0.203389830508475,0.163636363636364
8778,watsoar01,1,53,95,17,32,5,4,2,17.0,0.0,4,14.0,Art,Watson,175.0,70.0,L,R,C,N,0.336842105263158,0.36363636363636404,0.5368421052631579
6912,restedi01,2,93,270,42,65,12,0,13,43.0,3.0,37,30.0,Dino,Restelli,191.0,73.0,R,R,OF,N,0.24074074074074103,0.33224755700325703,0.42962962962962997
255,ashburi01,14,2189,8365,1322,2574,317,109,29,586.0,234.0,1198,571.0,Richie,Ashburn,170.0,70.0,L,R,OF,Player,0.30771069934249895,0.394436892188644,0.3820681410639571
7466,schulwe02,3,429,1442,169,417,73,20,27,192.0,7.0,118,197.0,Wes,Schulmerich,210.0,71.0,R,R,OF,N,0.289181692094313,0.342948717948718,0.42371705963939005
7723,slaugen01,21,2380,7946,1247,2383,413,148,169,1304.0,71.0,1018,538.0,Enos,Slaughter,180.0,69.0,L,R,OF,Player,0.299899320412786,0.379406514948684,0.45293229297759896
5997,neeltr01,2,230,758,110,212,37,0,37,120.0,5.0,92,177.0,Troy,Neel,210.0,76.0,L,R,1B,N,0.27968337730870696,0.357647058823529,0.4749340369393139
7158,roofge01,2,48,90,17,24,8,0,0,6.0,7.0,14,23.0,Gene,Roof,180.0,74.0,B,R,OF,N,0.266666666666667,0.365384615384615,0.35555555555555607
8026,stewast01,13,176,265,74,63,14,3,1,18.0,21.0,17,32.0,Stuffy,Stewart,160.0,69.0,R,R,2B,N,0.23773584905660397,0.28368794326241104,0.324528301886792
342,bakopa01,11,789,2202,195,508,98,11,24,195.0,4.0,233,589.0,Paul,Bako,205.0,74.0,L,R,C,N,0.23069936421435103,0.30431211498973304,0.31789282470481395
517,beckejo01,1,40,83,8,20,5,2,1,13.0,0.0,8,8.0,Joe,Becker,180.0,73.0,R,R,C,N,0.240963855421687,0.307692307692308,0.385542168674699
6428,pedrodu01,12,1506,6011,921,1803,394,15,140,724.0,138.0,623,652.0,Dustin,Pedroia,175.0,69.0,R,R,2B,N,0.299950091498919,0.36569189026228494,0.44035934120778597
7892,spencbe01,0,8,21,2,6,1,1,0,2.0,0.0,2,4.0,Ben,Spencer,160.0,68.0,L,L,OF,N,0.28571428571428603,0.34782608695652195,0.42857142857142894
8074,stripjo01,10,1146,4211,575,1238,219,43,24,464.0,50.0,280,226.0,Joe,Stripp,175.0,71.0,R,R,3B,N,0.29399192590833506,0.33800935203740806,0.3835193540726671
144,altmage01,8,991,3091,409,832,132,34,101,403.0,52.0,268,572.0,George,Altman,200.0,76.0,L,R,OF,N,0.26916855386606303,0.327478416195296,0.4318990617923
4065,jacobmi02,7,569,1949,248,493,116,6,100,312.0,5.0,170,492.0,Mike,Jacobs,210.0,75.0,L,R,1B,N,0.252950230887635,0.31288343558282206,0.47255002565418197
4904,longhe01,15,1875,7678,1456,2129,342,97,91,1055.0,537.0,612,462.0,Herman,Long,160.0,68.0,L,R,SS,N,0.277285751497786,0.33063932448733396,0.382651732221933
7933,staintu01,12,817,2261,284,585,90,14,17,204.0,27.0,64,213.0,Tuck,Stainback,175.0,71.0,R,R,OF,N,0.258735072976559,0.279139784946237,0.333480760725343
2645,fitzmsh01,0,9,13,2,2,0,0,0,0.0,1.0,2,6.0,Shaun,Fitzmaurice,180.0,72.0,R,R,OF,N,0.153846153846154,0.266666666666667,0.153846153846154
1140,bussera01,3,68,155,12,23,8,2,2,9.0,0.0,11,54.0,Ray,Busse,175.0,76.0,R,R,3B,N,0.148387096774194,0.20481927710843398,0.26451612903225796
2096,demonle01,0,26,70,8,17,3,1,0,7.0,3.0,8,15.0,Lee,DeMontreville,140.0,67.0,R,R,2B,N,0.24285714285714302,0.32051282051282104,0.314285714285714
4235,jonestr01,5,493,1303,173,356,56,6,27,164.0,62.0,100,140.0,Tracy,Jones,180.0,75.0,R,R,OF,N,0.273215656178051,0.325017818959373,0.38756715272448206
1013,brownol02,12,1221,3642,404,964,144,11,102,454.0,30.0,314,616.0,Ollie,Brown,178.0,74.0,R,R,OF,N,0.264689730917079,0.323053589484328,0.3942888522789679
5784,morehra01,3,177,487,82,131,21,7,1,49.0,10.0,57,40.0,Ray,Morehart,157.0,69.0,L,R,2B,N,0.26899383983572894,0.34558823529411803,0.34702258726899393
6588,pillbr01,2,111,240,28,56,10,2,9,32.0,1.0,13,44.0,Brett,Pill,225.0,76.0,R,R,1B,N,0.23333333333333303,0.272727272727273,0.40416666666666706
6708,pryorgr01,10,789,1883,204,471,85,9,14,146.0,11.0,104,185.0,Greg,Pryor,180.0,72.0,R,R,2B,N,0.250132766861391,0.28938097634625104,0.327137546468401
2824,fusseed01,6,109,462,75,124,19,3,1,,,8,,Eddie,Fusselback,156.0,66.0,R,,C,N,0.268398268398268,0.280851063829787,0.329004329004329
586,bennehe01,4,312,877,135,242,41,13,7,104.0,13.0,58,65.0,Herschel,Bennett,160.0,69.0,L,R,OF,N,0.27594070695553,0.3208556149732619,0.37628278221208705
6384,pasekjo01,1,32,70,7,18,4,0,0,4.0,2.0,8,8.0,Johnny,Pasek,175.0,70.0,R,R,C,N,0.25714285714285695,0.33333333333333304,0.314285714285714
1429,chapmsa01,13,1368,4988,754,1329,210,52,180,773.0,41.0,562,682.0,Sam,Chapman,180.0,72.0,R,R,OF,N,0.26643945469125896,0.340720720720721,0.43765036086607895
6505,peterbo01,1,43,131,11,25,1,1,1,9.0,1.0,11,25.0,Bob,Peterson,160.0,73.0,R,R,C,N,0.19083969465648898,0.25352112676056304,0.23664122137404603
3169,gotayju01,9,389,988,106,257,38,3,6,70.0,12.0,61,127.0,Julio,Gotay,180.0,72.0,R,R,3B,N,0.26012145748987897,0.303145853193518,0.322874493927126
4586,kusiccr01,6,497,1238,155,291,50,3,46,171.0,11.0,194,228.0,Craig,Kusick,210.0,75.0,R,R,1B,N,0.235056542810985,0.338687150837989,0.39176090468497604
4417,kimhy01,1,191,517,56,141,24,2,7,36.0,1.0,58,97.0,Hyun Soo,Kim,210.0,74.0,L,R,OF,N,0.272727272727273,0.346086956521739,0.367504835589942
4578,kuheljo01,17,2104,7984,1236,2212,412,111,131,1049.0,178.0,980,612.0,Joe,Kuhel,180.0,72.0,L,L,1B,N,0.27705410821643295,0.356091030789826,0.405686372745491
7095,rodriel01,8,775,2173,220,533,76,6,16,203.0,17.0,332,291.0,Ellie,Rodriguez,185.0,71.0,R,R,C,N,0.245283018867925,0.345309381237525,0.30786930510814503
1325,carusmi01,4,281,1072,144,294,28,10,7,90.0,34.0,35,76.0,Mike,Caruso,172.0,73.0,L,R,SS,N,0.274253731343284,0.297199638663053,0.33861940298507504
6355,parenma01,12,474,1303,112,279,50,0,53,168.0,3.0,98,319.0,Mark,Parent,215.0,77.0,R,R,C,N,0.214121258633922,0.269093504639543,0.37452033768227205
280,austihe01,0,23,101,10,25,3,3,0,11.0,1.0,0,5.0,Henry,Austin,,,,,OF,N,0.24752475247524802,0.24752475247524802,0.336633663366337
5743,moorebi02,1,49,87,9,18,2,0,0,4.0,0.0,13,10.0,Bill,Moore,170.0,71.0,L,R,C,N,0.206896551724138,0.31,0.22988505747126398
7018,riverre01,14,506,1402,110,309,62,2,40,164.0,1.0,86,410.0,Rene,Rivera,215.0,70.0,R,R,C,N,0.22039942938659102,0.265456989247312,0.353067047075606
2906,gardnar01,3,86,99,12,16,0,0,0,5.0,1.0,4,25.0,Art,Gardner,175.0,71.0,L,L,OF,N,0.161616161616162,0.194174757281553,0.161616161616162
3017,gilje01,3,30,86,3,15,2,1,0,8.0,2.0,0,33.0,Jerry,Gil,215.0,75.0,R,R,SS,N,0.174418604651163,0.174418604651163,0.22093023255814
1123,burripa01,5,69,196,15,43,5,0,2,24.0,0.0,8,21.0,Paul,Burris,190.0,72.0,R,R,C,N,0.21938775510204103,0.25,0.27551020408163296
2149,diazel01,3,149,446,51,114,26,0,11,54.0,1.0,32,80.0,Elias,Diaz,220.0,73.0,R,R,C,N,0.25560538116591897,0.30543933054393296,0.38789237668161397
4320,keelewi01,18,2123,8591,1719,2932,241,145,33,810.0,495.0,524,136.0,Willie,Keeler,140.0,64.0,L,L,OF,Player,0.34128739378419304,0.3791552386176629,0.41461995111162797
7183,rosenma01,2,42,57,8,17,4,0,2,7.0,2.0,2,12.0,Max,Rosenfeld,175.0,68.0,R,R,OF,N,0.29824561403508804,0.322033898305085,0.47368421052631604
