,inducted
6416,N
5576,N
1885,N
8797,N
4667,N
5648,N
7852,N
6302,N
6256,N
7363,N
2792,N
1368,N
7364,N
7548,N
3495,N
8509,N
805,N
1955,N
7342,N
7684,N
3786,N
5021,N
1829,N
455,N
5913,N
7565,N
4528,N
6992,N
3453,N
6841,N
478,N
1052,N
2370,N
8026,N
8721,N
921,N
6641,N
7287,N
2825,N
2525,N
2577,N
715,N
1841,N
6118,N
6629,N
2277,N
6555,N
6157,N
3725,N
2200,N
2006,N
2634,N
1464,N
2776,N
4809,N
4296,N
8036,N
1706,N
1600,N
85,N
8108,N
6008,N
5194,N
2591,N
998,N
1194,N
6007,N
1850,N
6689,N
3521,N
5922,N
8880,N
287,Y
6375,N
4398,N
2773,N
4503,N
3592,N
8697,N
538,N
5366,N
8892,N
1341,N
769,N
2305,N
6335,N
993,N
6624,N
1549,N
574,Y
6032,N
4092,N
2702,N
31,N
5308,N
9120,N
522,N
7576,N
852,N
8783,N
1536,N
6478,N
5478,N
4085,N
1660,N
3325,N
2287,N
6240,N
5002,N
6761,N
6378,N
452,N
8742,N
4366,N
6902,N
8931,N
7601,N
4105,N
3855,N
6794,N
8495,N
1641,Y
6364,N
6774,N
3956,N
1772,N
5112,N
5324,N
8716,N
9047,N
7313,N
1855,N
9005,Y
8954,N
80,N
2949,Y
2798,Y
8984,N
2207,N
9161,N
2248,N
1321,N
7643,N
8519,N
6963,N
5173,N
7354,N
1760,N
5393,N
2632,N
436,N
5855,N
2871,N
8718,N
3584,N
2692,N
966,N
1481,N
7714,N
7588,N
979,N
7789,N
6913,N
1054,N
8728,N
2239,N
7678,N
8230,N
4457,N
3881,N
1799,N
8480,N
5553,N
3466,N
25,N
8282,N
8034,N
3494,N
4083,N
5883,N
8603,N
3114,N
2194,N
7788,N
486,N
2667,Y
4476,N
2475,N
7810,N
1016,N
8594,N
6041,N
9104,N
110,N
4337,N
3949,N
5957,N
3835,N
2183,Y
4369,N
43,N
4893,N
6553,N
5470,N
5362,N
6835,N
8667,N
2490,N
2238,N
5388,N
6112,N
2065,N
1709,N
1048,N
4374,N
6956,N
3778,N
6537,N
2489,N
3916,N
7627,N
8774,N
3077,N
5933,Y
1247,N
5501,N
4644,N
4260,N
493,N
2817,N
6078,N
8520,N
3877,N
209,N
7419,N
4269,N
4843,N
1008,N
1789,N
6138,N
6068,N
20,N
1752,N
5761,N
8914,N
5382,N
383,N
7421,N
7061,N
5708,N
5469,N
8021,N
6885,N
4784,N
1191,N
9167,Y
8484,N
6205,N
6819,N
7940,N
3243,N
48,N
7828,Y
3598,Y
8997,N
9039,N
612,N
2040,N
2022,N
1984,N
3883,N
954,N
3384,N
529,N
365,N
1392,N
5677,N
8485,N
1005,N
1252,N
5311,N
3347,N
2364,N
4070,N
2030,N
